Title,Rating,Genre,Company,Budget,Popularity,Revenue,Runtime,Score 1,Votes 1,Score 2,Votes 2
Batman Returns,PG-13,Action,Warner Bros.,80000000,59.113174,280000000,126,6.6,1673,7,280000
John Carter,PG-13,Action,Walt Disney Pictures,260000000,43.926995,284139100,132,6.1,2124,6.6,260000
Lethal Weapon 4,R,Action,Warner Bros.,140000000,24.855701,285444603,127,6.3,767,6.6,156000
Oblivion,PG-13,Action,Universal Pictures,120000000,67.698004,286168572,124,6.4,4800,7,495000
Casper,PG,Comedy,Universal Pictures,50000000,19.830132,287928194,100,6,1019,6.1,125000
Bridesmaids,R,Comedy,Universal Pictures,32500000,17.107065,288383523,125,6.5,1661,6.8,276000
The Bourne Supremacy,PG-13,Action,Universal Pictures,75000000,53.213931,288500217,108,7.2,2825,7.7,443000
Shakespeare in Love,R,Comedy,Universal Pictures,25000000,31.792964,289317794,122,6.8,796,7.1,217000
Alice Through the Looking Glass,PG,Adventure,Walt Disney Pictures,170000000,56.268916,299370084,113,6.5,1725,6.2,98000
Beverly Hills Cop II,R,Action,Paramount Pictures,20000000,25.28436,299965036,100,6.1,613,6.5,111000
Wrath of the Titans,PG-13,Action,Warner Bros.,150000000,44.927635,301000000,99,5.5,1431,5.7,184000
G.I. Joe: The Rise of Cobra,PG-13,Action,Paramount Pictures,175000000,32.852443,302469017,118,5.6,1962,5.8,202000
Battleship,PG-13,Action,Universal Pictures,209000000,64.928382,303025485,131,5.5,2114,5.8,240000
Runaway Bride,PG,Comedy,Paramount Pictures,70000000,20.230535,309457509,116,5.7,455,5.6,95000
Little Fockers,PG-13,Comedy,Universal Pictures,100000000,32.389353,310650585,98,5.4,1060,5.5,108000
Beverly Hills Cop,R,Action,Paramount Pictures,15000000,29.843818,316360478,105,6.8,961,7.3,171000
The Last Airbender,PG,Action,Paramount Pictures,150000000,33.769336,318502923,103,4.7,1151,4,156000
Inglourious Basterds,R,Adventure,Universal Pictures,70000000,72.595961,319131050,153,7.9,6430,8.3,1300000
Fatal Attraction,R,Drama,Paramount Pictures,14000000,16.742972,320145693,119,6.6,291,6.9,79000
